start	end	text
644520	648360	I'm not looking for anything. So because I don't have that I
648920	654840	Don't have to worry about that. Right. Everything is just how it is. Right. So I have the exact same success
655520	657520	here and
658280	660280	I spoke about the energy thing earlier
661120	663760	It doesn't matter what country I went to I
664200	670600	Have had a shared experience in every country which blows my mind
675520	684600	I've made connections with women that are deep and we don't even speak the same language and of course
685760	687260	the
687260	690860	The trope is oh, they only doing it for your money. No
691520	697720	No, this is this morning. Yeah, it's morning. When you're able to talk to someone every day
698240	702840	And money is never the conversation. We're talking about what do you like to do?
702840	706200	What's your family do like what you doing today? What's your job? What's your goals?
706200	710640	Like it's a connection. That's deeper than just a transaction
711280	714900	So and I've had that experience every country I've been to
717240	719240	It's kind of dope
721400	726560	So you really feel in the vibe like it's an energy thing with you it's like I think it's true
726560	731200	I think when you run into people there's a connection like this guy's cool and this guy's a jerk
731200	737200	Yeah, you know I'm in like so definitely an energy thing like you know I'm saying like you're meeting good people good
737200	738800	Bob's the energy
738800	746280	You know I'm saying now imagine a question when you out here. Do you ever see yourself like living living here and working here?
746920	748920	Fucker. Well
751600	756480	I'm not in a state where I'm not in a position where I can just
757360	762680	Drop everything. I have a I have a child an older child teenager. Yeah
766680	768960	She's my number one priority, of course
771080	777880	After that a couple years, I have no idea, but that's why I'm traveling now, right so I can get an idea of
779080	781320	The possibilities that might be right
782040	784240	That might be presented to me later, right?
785160	790400	Do you feel like as a black man, do you feel a difference traveling as opposed to Gunther back there?
791960	793960	Well
794320	799800	Being from America, it's hard to not notice the differences, but
800760	807520	As a black man as a black man, you already know there's certain things you want to encounter certain advantages of shit
807520	809840	I'm not just certain things you'll encounter, you know
811200	812720	but I
812740	820360	Try not to let negative things spoil or outweigh the positives because there's a lot of positive
822040	825000	As humans we focus on the negative that's just what we do
825480	828560	But I like to focus on a positive good interactions
829200	834800	You know the friendly interactions I have I like to focus on that one. Yeah, how are you with the people?
835440	841560	What do you think about we switch it up just a little bit little something on that? We think soy six. Hey like say six
842960	844960	Sys compared to Pedro Casante
845240	847080	What's Pedro Casante?
847080	850080	Pedro Casante is with Rumba and all that shit. He said where's Pedro Casante?
850800	855880	Two on five just pulled up. Mr. Workout sitting written there for five minutes and came back out
860000	862000	See what he had
862000	864280	Soy six was cool at first. I didn't think
865440	870560	I thought it'd be a little it was a little much, but nah, I dapped it. It's cool. I like it
870560	872560	Yeah, okay
873760	877000	If you can cuz you leaving basically tonight, yeah
877120	882400	But I deal like if you could just blink your eyes like a genie and all that how many more days would you stay? Oh?
884400	890560	I will say another week. Okay. Okay, cuz I will turn this trip because we're in Asia
890560	897680	I also want to go to the Philippines. I will turn this trip into another trip and go to the Philippines for like four days
898360	904540	Don't you think you could really call your job be like y'all twist my ankle at the shoreline? Bye. Bye. Bye. Bye
906200	912400	I'm not coming in. Nah, I don't mess with my money. I don't mess with my money. I'm budget everything
913000	916160	So it's right drama, right? Yeah CDL truck driver
918160	919640	I
919640	922880	I'm in I'm in the black. I like to stay in the black
923520	926440	I'm for seeing occurrences before everyone so I
927160	929160	Don't wait for I
930200	935800	Don't wait for things to happen. Let's start grinding. I'd rather grind right force them happen so that I can be ready
935800	939920	I I you know what? I totally dig that cause fly different color
939920	943960	I know I dig a hundred percent where you're coming from man
944200	949040	Like, you know, every you know saying like I feel like it's gonna sound corny. I'm like you listen to
949840	955320	But like, you know, you're driving your job your responsibility obligation. I feel like me being out here
955320	960720	I'm like the test dummy for the niggas that haven't came yet. You know, like I was here two more times before this time
961080	964440	So I kind of feel like this is my job condo. I don't know
965000	967000	you're doing a great service because
967760	971240	one of the reasons one of the reasons why I felt super comfortable
971960	977400	Going this trip is because I already knew that we were gonna be with somebody who's been out here already. That's what's up
977400	984080	So knowing how to move is very important when you go places, right? For instance, um
985560	987560	Layover is in Qatar
987600	990320	You can't move the same way in Qatar
990600	995640	World that you do in America. I picked those sides to you will have a very rude awakening
996440	1000360	Thinking that you can move that way in Qatar. You know what though? You ain't got no visors
1000360	1005160	I'm in the bad from sneaking my vape and shit. I'm like, you think it's for me under for like two years
1005160	1010360	Yeah, see, I don't I don't indulge in nothing. I'll drink a beer or two. That's dope, but uh
1011040	1014260	But that's for another reason. I'm afraid. I'm very afraid of drugs
1014660	1018780	Very afraid of what drugs because I have a very addictive
1019420	1024780	Personality like if I find something I like it's too hard to stop. So I'm too afraid just to try anything
1025220	1029100	Too afraid. So do you ever could see you ever see yourself?
1029940	1033060	With an entire woman like full-time part-time. I
1034180	1035620	Should on buddy
1035620	1042380	Um, actually remember that connection I was talking about earlier in Bangkok. I sort of had a nice connection with
1043260	1046580	Taya her name is Taya Taya, okay, Taya
1048980	1050980	Unfortunately, we weren't there long enough
1051140	1055300	but I feel like the energy she was giving I
1056420	1061700	Could have that could have turned into something. Okay, I had more time. So I won't say no
1062420	1067460	But I'm sure Taya isn't the only one I could have felt that way. So I'm not gonna say no
1067460	1071180	I'm not gonna say a hundred percent. I'll say it's possible. Now. Listen
1071620	1073620	There's a strong strong
1075380	1080380	Philadelphia community that traveling man, like the Philly get now nice. Okay, shorty
1080900	1088260	Go crowd. Just sitting you at the spot. That's the best spot. Okay. Oh, yeah Philly runs a lot of brothers from Philadelphia, bro
1089300	1095900	Good. Yeah, and it was crazy. Philadelphia's only 30 minutes big. That's crazy. Yeah, like that's crazy to me
1095900	1098220	I encourage everyone to travel
1099140	1104500	Everyone well, even if you can only travel one time per year, right? Just do it
1105420	1108500	Even if you're for five a five-day trip, let's say
1109220	1110700	because
1110700	1112060	okay
1112060	1113780	From Philadelphia
1113780	1115780	You can leave from the Philadelphia airport
1115900	1121700	We're connecting flights from Miami to the DR or you can catch the train and Amtrak
1122020	1124740	Catch that up to New York. Do a straight flight to the DR
1125380	1132900	From JFK, it's so simple. It's so cheap. It's so simple that one trip will inspire you
1133860	1134820	to
1134820	1138540	Take another one. Yeah, the next you know, you're doing two a year
1138540	1144420	You know, you know, you're doing three next. You know, you're doing four a year and now you're like, whoa every three months
1144420	1146420	I just realized I'm somewhere else
1147180	1153540	And that's how you grow as a person, right? It's impossible to take these trips and not have human interactions
1153540	1156740	That's not gonna impact. It's impossible. Right impossible
1157420	1159420	So that's the beauty of it
1160060	1162060	That's dope, man. I mean
1162580	1167580	Like I said, I was scared to death before I traveled to the Dominican Republic. So, you know, I tell people just take a chance
1168620	1170620	Let me tell you something
1173460	1177980	Do not listen to people
1178740	1187300	Experience things on your own. I've never been to Thailand. I have had hundreds of people tell me there's nothing but ladyboys everywhere
1187300	1190060	Oh, be careful. They're gonna run into it
1190540	1196660	They never stepped outside of Philly the same people saying this word people who never stepped outside of Philly. I get here
1196820	1201700	It's beautiful. I think I've ran into like four ladyboys my whole trip here
1202260	1203740	for
1204180	1209860	Even when I did I was in a pharmacy and one of them was helping me with my skin care
1210380	1216780	Like I'm very secure in my sexuality. So it's like I'm not I'm not like afraid of
1217180	1221300	Afraid to talk to him or anything. I know that's not that's not what I do
1221660	1223660	So it's like it's not gonna be afraid of
1224060	1229220	Like I feel like if people want to live the life they want to live they live my life
1229660	1234100	Live yours, it's not to be afraid of so overall getting back to the main point
1234940	1241820	Everybody's gonna have something to say. Oh, you go to the DR is nothing but STDs and everything or it's violence in
1242380	1245620	No, go experience it for your side once you do that
1246740	1250460	You'll see do you see yourself coming back to Thailand anytime soon
1254660	1256500	Probably next year
1256500	1262060	Probably next year I have some other trips longer. It's gonna be longer next time. Well, it'll be it'll be a duo
1262220	1264060	I'm gonna split it
1264060	1269260	Because I really want to go to the Philippines and you I heard you I think to to set it that you want to go to Phuket
1269460	1276140	Yeah, I want to go to Phuket because I like the island man. Yeah, I like the islands. I love the water
1277340	1279100	I
1279100	1281100	Love the prices of everything here
1281940	1284340	Like yacht excursions for hundred and eight dollars
1285220	1287220	You're not much of a yacht will run you in Miami
1297100	1300220	A lot of times I didn't want to get too deep into it, but you're a religious man
1301220	1306860	Higher belief in God and all that that's what keeps us healthy and safe and all of that like I
1307700	1312300	Think it's important that you know, you know, you're religious and all that like you still
1313100	1316740	Travel right like you still playing on traveling. Look it down act like you don't know
1316740	1320020	I know you didn't want to get I didn't want to get too deep into it to put you on the spot
1320340	1327260	But you know you're a religious man. Yes, I do believe in a creator flesh is weak. I do believe in the creator
1330420	1335620	Yeah, I will contain a travel okay, we believe that that is uncomfortable just like talking about the Eagles
1335620	1337620	It's very uncomfortable. No, I'm not really eaters
1337620	1343340	No, you the same attitude you just took the same attitude you said I talk about the Eagles cheaters
1344100	1346100	cheaters I
1346660	1352820	Brought my Zikwan Barclay Jersey here. I got love. I got love right people that me up all over down here
1353260	1355260	That's cuz everybody know
1355340	1359700	World champs. What do you want to say to somebody that's scared to travel that hasn't traveled?
1359700	1362500	I think you already covered it, but what would be a message to be like?
1363220	1368820	Say like somebody that'd be like you met me at work. He's training and then you'd be like, uh-uh, I get killed
1368820	1374580	Can I people say that about the or still I'll get killed if I go out there and they still say that I get killed if I go out there
1374820	1380140	All right, so I would say reach out to some different people in the travel you
1380580	1387220	Youtubers. Yes reach out because the one thing about the travel community is we encourage we want more
1387460	1392340	We want more members of the travel community. Thanks, and I can't speak for
1392500	1397700	Every single person, but I would say at least eight out of ten will direct you in a way
1398340	1402820	That will benefit you like we're not out here to fool you to steal your money
1403340	1405340	We want you to have a successful
1406780	1409660	Excessful encounter when you do travel reach out
1410580	1415540	Talk to different people ask them. Yeah, right down questions. Ask them exactly what you do
1415540	1421460	Is it safe? How do you how do I take out money? Where can I use my card here? Like just ask
1423460	1425220	Just ask
1425220	1431620	Yeah, cuz once you actually do it, you'll see you're like, oh, I was afraid of a lot of things that were unnecessary
1431820	1436180	What was the scariest part about taking this flight even though you was going with my man over there?
1436900	1438900	She's well, I'm
1439540	1442340	320 pounds so the thing I was most afraid of was sitting there see
1442980	1444980	like so I
1445900	1450380	Was able to get in the seat and I was I was cool, but that was scary. I didn't know that
1450940	1454340	That's a proper thing to pay, but you got to realize that people travel too
1455220	1458140	We know they turn us into cargo planes and shit
1458140	1463860	There's no seats just let us roll around at the planes moving and shit, but also that's a form of inspiration also
1465300	1469380	For myself personally don't go too deep. I'm not you only got a certain amount of time
1470500	1472500	Because we look around his dog they close
1474980	1476980	All the stuff at the base like
1476980	1478980	No
1479860	1487220	Close it out close it out bring this home land the plane so not traveling you want it it forces you
1487940	1489940	to want to do more
1489940	1490900	fact and
1490900	1498260	Better job proceed. No, no job. I'm talking about health wise. Okay, and there are some things that you're
1499100	1504660	Your weight may prohibit you from doing paracels. I wanted to paracels. They was like, hey, you're too heavy
1507340	1514340	Okay, Brandon. Well, Brandon, if you want a paracel get that weight down you want to skydive get that weight down facts
1514340	1518900	So now I have in my mind. All right. They might have did you explain the patient? Yeah
1520500	1525940	No, it's not to be a it's not to be angry about or angry at somebody else. It's self-motivation
1526580	1533020	That's all okay because the next time I take a pic with me paracel and I'm gonna reference back this video
1533340	1537020	From when I was too happy to do it. Well, you don't watch my channel anyway, brother
1537020	1540060	Then when I post you I'll be talking about shit. You don't know nothing about
1542740	1547620	You say you watch YouTube as a shit, you don't know nothing what I'm saying. I bet you don't even subscribe
1547620	1562220	Yeah, yeah, yeah, we're having fun man's 215 birthday put it in the comment happy birthday 215
1562940	1564940	Word up. Oh, I say 42
1565620	1567620	Niggas be lying about their age man
1570580	1576700	I want to speak to your mother. What's your job? What's my name? I think we'll end it on that everybody
1577620	1579620	Hahaha
